DATE,USALORSGPNOSTSAM
1960-01-01,100.991731091997
1960-02-01,101.002059976201
1960-03-01,100.925939842187
1960-04-01,100.765698950625
1960-05-01,100.540321799936
1960-06-01,100.267443471777
1960-07-01,99.9500462226579
1960-08-01,99.5876022618479
1960-09-01,99.1900132449018
1960-10-01,98.794198209208
1960-11-01,98.4471807629716
1960-12-01,98.1894620735008
1961-01-01,98.0352470183555
1961-02-01,97.985405237748
1961-03-01,98.0323720906991
1961-04-01,98.157081647986
1961-05-01,98.3388713325979
1961-06-01,98.5594005263875
1961-07-01,98.8021246210747
1961-08-01,99.0536109915082
1961-09-01,99.302857057211
1961-10-01,99.5395441376949
1961-11-01,99.753567779192
1961-12-01,99.9350297076892
1962-01-01,100.075426894824
1962-02-01,100.167922211631
1962-03-01,100.210148847754
1962-04-01,100.210023438879
1962-05-01,100.177468979757
1962-06-01,100.118882908326
1962-07-01,100.033696357635
1962-08-01,99.9193288797039
1962-09-01,99.7777336524014
1962-10-01,99.6236741117427
1962-11-01,99.4767207617132
1962-12-01,99.354061208636
1963-01-01,99.262736097007
1963-02-01,99.205374299532
1963-03-01,99.1833832940115
1963-04-01,99.1974416594826
1963-05-01,99.2460594446323
1963-06-01,99.3212968006288
1963-07-01,99.401726514678
1963-08-01,99.4651053436926
1963-09-01,99.5003275255968
1963-10-01,99.5202240155932
1963-11-01,99.5458169000004
1963-12-01,99.5915066926896
1964-01-01,99.6497137920599
1964-02-01,99.7032790874428
1964-03-01,99.7366312068944
1964-04-01,99.7469895220108
1964-05-01,99.7369881967941
1964-06-01,99.7087944180436
1964-07-01,99.6595728369312
1964-08-01,99.5879555654487
1964-09-01,99.5018180154132
1964-10-01,99.4274375956165
1964-11-01,99.3947688365297
1964-12-01,99.4220412117116
1965-01-01,99.4974051093382
1965-02-01,99.5986150543961
1965-03-01,99.7089139469177
1965-04-01,99.8308893235241
1965-05-01,99.9773251301768
1965-06-01,100.161161399754
1965-07-01,100.383612398447
1965-08-01,100.639291162775
1965-09-01,100.918404092899
1965-10-01,101.206421615658
1965-11-01,101.484593051165
1965-12-01,101.729734337373
1966-01-01,101.914682348602
1966-02-01,102.014904352374
1966-03-01,102.019417950271
1966-04-01,101.947580031791
1966-05-01,101.830128193471
1966-06-01,101.695852843211
1966-07-01,101.561940752669
1966-08-01,101.436398802673
1966-09-01,101.320675548103
1966-10-01,101.21188020618
1966-11-01,101.104098429496
1966-12-01,100.989426385255
1967-01-01,100.859155400732
1967-02-01,100.707145745059
1967-03-01,100.534504992641
1967-04-01,100.355973944949
1967-05-01,100.191297835199
1967-06-01,100.057425990991
1967-07-01,99.9601177346418
1967-08-01,99.9016130179428
1967-09-01,99.885810049789
1967-10-01,99.920841866135
1967-11-01,100.015090056488
1967-12-01,100.169752353023
1968-01-01,100.367245407498
1968-02-01,100.581531389588
1968-03-01,100.785450215577
1968-04-01,100.957013250283
1968-05-01,101.079880669295
1968-06-01,101.146272635011
1968-07-01,101.1634334633
1968-08-01,101.146297505794
1968-09-01,101.113810109518
1968-10-01,101.087904476544
1968-11-01,101.08608139753
1968-12-01,101.113771150727
1969-01-01,101.155146639129
1969-02-01,101.186063308785
1969-03-01,101.186093011499
1969-04-01,101.151397788849
1969-05-01,101.084385707019
1969-06-01,100.986004797395
1969-07-01,100.850547280505
1969-08-01,100.670239200129
1969-09-01,100.44258199661
1969-10-01,100.180895300853
1969-11-01,99.9048665816073
1969-12-01,99.6338060172796
1970-01-01,99.3812213409305
1970-02-01,99.1561834594928
1970-03-01,98.9634845200001
1970-04-01,98.8019237880568
1970-05-01,98.666183640102
1970-06-01,98.5464996886719
1970-07-01,98.4265213611818
1970-08-01,98.2955990547276
1970-09-01,98.1609611913675
1970-10-01,98.0605144372808
1970-11-01,98.0364316324319
1970-12-01,98.1065598693138
1971-01-01,98.2451559768766
1971-02-01,98.4016315382096
1971-03-01,98.5289437703238
1971-04-01,98.610691692478
1971-05-01,98.6481903180219
1971-06-01,98.6505823998586
1971-07-01,98.6279811871637
1971-08-01,98.5927567385914
1971-09-01,98.5625474309092
1971-10-01,98.5641225280811
1971-11-01,98.62529399911
1971-12-01,98.7646010267566
1972-01-01,98.9766036704714
1972-02-01,99.2433452956618
1972-03-01,99.5403487854414
1972-04-01,99.8385627712071
1972-05-01,100.113460901253
1972-06-01,100.354062978214
1972-07-01,100.573564616035
1972-08-01,100.796256562808
1972-09-01,101.045775710472
1972-10-01,101.333018432929
1972-11-01,101.657185765701
1972-12-01,102.003988726267
1973-01-01,102.341040445445
1973-02-01,102.628767698453
1973-03-01,102.832186457531
1973-04-01,102.936333682793
1973-05-01,102.939794133321
1973-06-01,102.855124556117
1973-07-01,102.716296090908
1973-08-01,102.558672508558
1973-09-01,102.403158634731
1973-10-01,102.242054865772
1973-11-01,102.055820238574
1973-12-01,101.830115455779
1974-01-01,101.574454071818
1974-02-01,101.306133465343
1974-03-01,101.036570848326
1974-04-01,100.758848561043
1974-05-01,100.458263005702
1974-06-01,100.123342593364
1974-07-01,99.7583225030342
1974-08-01,99.3738553309415
1974-09-01,98.9800545089017
1974-10-01,98.5811124064772
1974-11-01,98.1820404106429
1974-12-01,97.7956353858427
1975-01-01,97.4493105665341
1975-02-01,97.1746430316743
1975-03-01,96.9943626152226
1975-04-01,96.9182649299634
1975-05-01,96.9424337008046
1975-06-01,97.0545293779168
1975-07-01,97.2315174721072
1975-08-01,97.4504306531702
1975-09-01,97.6942704866309
1975-10-01,97.9547391031859
1975-11-01,98.2263135127453
1975-12-01,98.4988092182771
